type,price,pnl,time
open_sell,1.16958,,2025-08-25 05:15:00
close_sell,1.17047,-0.3599999999996939,2025-08-25 11:30:00
open_buy,1.17047,,2025-08-25 11:30:00
close_buy,1.16926,1.1199999999997878,2025-08-25 14:00:00
open_sell,1.16926,,2025-08-25 14:00:00
close_sell,1.16287,-0.16000000000016001,2025-08-26 06:30:00
open_buy,1.16287,,2025-08-26 06:30:00
close_buy,1.162,-0.19999999999997797,2025-08-26 11:00:00
open_sell,1.162,,2025-08-26 11:00:00
close_sell,1.16564,-0.640000000000196,2025-08-26 15:00:00
open_buy,1.16564,,2025-08-26 15:00:00
close_buy,1.16384,0.779999999999781,2025-08-26 23:30:00
open_sell,1.16384,,2025-08-26 23:30:00
close_sell,1.16376,-2.3599999999999177,2025-08-27 19:45:00
open_buy,1.16376,,2025-08-27 19:45:00
close_buy,1.16338,-1.8599999999997507,2025-08-28 11:00:00
open_sell,1.16338,,2025-08-28 11:00:00
close_sell,1.16715,-1.5399999999998748,2025-08-28 13:30:00
open_buy,1.16715,,2025-08-28 13:30:00
close_buy,1.1676,-0.580000000000247,2025-08-29 03:15:00
open_sell,1.1676,,2025-08-29 03:15:00
close_sell,1.16719,0.8799999999999919,2025-08-29 12:30:00
open_buy,1.16719,,2025-08-29 12:30:00
close_buy,1.16771,1.8400000000000638,2025-08-29 17:00:00
open_sell,1.16771,,2025-08-29 17:00:00
close_sell,1.1694,-1.8199999999999328,2025-08-29 17:30:00
open_buy,1.1694,,2025-08-29 17:30:00
close_buy,1.17045,0.8799999999999919,2025-09-01 05:15:00
open_sell,1.17045,,2025-09-01 05:15:00
close_sell,1.1711,-1.2400000000001299,2025-09-01 05:45:00
open_buy,1.1711,,2025-09-01 05:45:00
close_buy,1.17098,-0.05999999999994898,2025-09-01 17:30:00
open_sell,1.17098,,2025-09-01 17:30:00
close_sell,1.1712799999999999,-0.39999999999995595,2025-09-02 02:15:00
open_buy,1.1712799999999999,,2025-09-02 02:15:00
close_buy,1.16978,-0.140000000000029,2025-09-02 05:45:00
open_sell,1.16978,,2025-09-02 05:45:00
close_sell,1.16365,1.0399999999997078,2025-09-02 21:00:00
open_buy,1.16365,,2025-09-02 21:00:00
close_buy,1.1639,-0.34000000000000696,2025-09-02 23:15:00
open_sell,1.1639,,2025-09-02 23:15:00
close_sell,1.16559,-2.1599999999999397,2025-09-03 11:45:00
open_buy,1.16559,,2025-09-03 11:45:00
close_buy,1.16614,0.8999999999996788,2025-09-04 01:30:00
